id;safe_keeping_project_id;year;owner;text;description;start_date;end_date;background_color;text_color
1;1;2020;user1@my.com;solution;Infrastructure incentivize;2020-10-06;2020-10-06;Granite;e-enable
2;1;2020;user1@my.com;CFA Franc BEAC Face to face;Plastic;2020-10-07;2020-10-07;Idaho Baht Forward;Customer
3;1;2020;user2@my.com;Home Loan Account;calculating;2020-10-08;2020-10-08;virtual reintermediate;AI
4;2;FTP Bedfordshire;solid state;Money Market Account white holistic;Games virtual real-time;2020-10-06;2020-10-05;pixel Fresh;Louisiana
5;2;Incredible Fresh Shirt;connecting Soft;Rustic Granite Chicken;California;2020-10-06;2020-10-05;Lebanese Pound bypassing deploy;Incredible Metal Cheese interface
6;2;Rubber XSS;Total AI;networks Jamaican Dollar;compress exuding Palestinian Territory;2020-10-05;2020-10-06;Forward;Georgia copy cultivate
7;2;index Madagascar;Automotive;Kwanza;United Kingdom Architect Operations;2020-10-05;2020-10-05;Legacy Engineer Centers;silver RSS
8;2;Tunisian Dinar;5th generation auxiliary;Developer;Plastic;2020-10-06;2020-10-06;Mexico;SDD Washington
9;2;24/7;South Carolina;B2C;Outdoors best-of-breed;2020-10-05;2020-10-05;Unbranded moratorium bricks-and-clicks;Zambia Congolese Franc
10;2;Steel Moldovan Leu;technologies Solutions;Corners payment Credit Card Account;Soap;2020-10-05;2020-10-06;Shoes backing up aggregate;Kroon
