id;subject;body;jhi_from;jhi_to;emitted_date;read_date;due_date;status;from_id;to_id;chat_id
1;Rustic bleeding-edge;green 1080p Metal;USB;CSS Granite;2020-10-05;2020-10-05;2020-10-05;READ;11395;56641;66299
2;Directives payment bluetooth;Yen District;synthesizing;Administrator Practical;2020-10-06;2020-10-05;2020-10-06;EMITTED;18051;31365;41679
3;withdrawal compressing Unbranded Wooden Salad;payment Avon Terrace;interface;Health Berkshire;2020-10-06;2020-10-05;2020-10-06;RECEIVED;93789;96559;28485
4;1080p;Spur Gorgeous Steel Bacon;Chair Gloves Associate;system;2020-10-05;2020-10-06;2020-10-05;READ;65671;45511;66672
5;Checking Account relationships;bandwidth back-end;Metal Lithuanian Litas;Investor customized Borders;2020-10-05;2020-10-05;2020-10-06;READ;88123;67079;3446
6;Granite;HDD Malaysian Ringgit Gorgeous Wooden Car;navigate Shoes;quantify;2020-10-05;2020-10-06;2020-10-05;RECEIVED;24354;52470;43460
7;regional New York Grocery;groupware;Clothing;matrix;2020-10-06;2020-10-05;2020-10-06;EMITTED;74321;24540;10781
8;Tuna Tennessee visualize;Product;violet Afghani Specialist;New Zealand Dollar Investment Account;2020-10-05;2020-10-06;2020-10-05;READ;46052;65619;68596
9;Digitized;Buckinghamshire Generic Plastic Tuna;driver Fresh;Steel Money Market Account;2020-10-05;2020-10-06;2020-10-05;READ;70863;38839;8635
10;programming infomediaries;wireless azure program;Checking Account Administrator withdrawal;utilisation lime;2020-10-05;2020-10-05;2020-10-06;READ;49258;51733;98587
