id;name;description;parent_1;parent_2;mediator;start
1;Oman program;THX;user1@my.com;user2@my.com;Maryland Netherlands Antilles invoice;2020-10-05
2;productize;Computers Jewelery Gorgeous;software Mill;Shoes input incubate;Cotton;2020-10-06
3;Associate;Rubber niches;JSON impactful;back-end holistic Personal Loan Account;Concrete mint green;2020-10-06
4;Bacon;Avon;Vermont Rubber;Architect;whiteboard;2020-10-05
5;optimizing;maroon capacitor Saudi Arabia;Hawaii support;Creative optimize;invoice red;2020-10-05
6;Nevada Home Personal Loan Account;Customer;AGP Neck;unleash mission-critical action-items;Investment Account payment;2020-10-05
7;Awesome Concrete Computer Gorgeous Steel Salad;Incredible out-of-the-box Cape;Developer Gorgeous Concrete Salad Mouse;Mobility EXE Operations;copy input back up;2020-10-06
8;well-modulated Metal Applications;Object-based Saint Lucia;Intelligent Soft Ball gold;South Dakota parse;iterate Indiana;2020-10-06
9;teal;Generic;Concrete;Dynamic hierarchy;input;2020-10-05
10;e-commerce primary Concrete;Minnesota systemic;Soft bandwidth;Handmade cross-platform Unbranded;Buckinghamshire;2020-10-06
